Team Name,Country
Newcastle United FC U21,England
Al-Tai,Saudi Arabia
Galatasaray SK,Turkey
VfB Lübeck,Germany
Kasimpasa,Turkey
Union Saint-Gilloise,Belgium
MSV Duisburg,Germany
PEC Zwolle,Netherlands
SC Paderborn 07,Germany
Itancourt Neuville,France
Velay FC,France
FC Challans,France
Arsenal FC,England
Feralpisalò,Italy
San Tirso SD,Spain
Barnet FC,England
Hull City,England
Hannover 96 II,Germany
Bayer Leverkusen,Germany
DC United,United States
RSC Anderlecht,Belgium
FCB Magpies,Gibraltar
Vikingur Reykjavik,Iceland
Yeclano Deportivo,Spain
Hercules CF,Spain
Brescia Calcio,Italy
Hellas Verona,Italy
CD Sonseca,Spain
Antequera CF,Spain
HJK Helsinki,Finland
New York Red Bulls,United States
Exeter City,England
Chesterfield FC,England
Kilmarnock FC,Scotland
Selaya FC,Spain
Norwich City,England
Konyaspor,Turkey
Pd Ergue Gaberic,France
KF Vllaznia Shkoder,Albania
Deutschland,Germany
Hertha BSC,Germany
FC Aubagne,France
Leicester City U21,England
Millwall FC,England
Saint Michel FC 91,France
CS Universitatea Craiova 1948,Romania
AS Domerat,France
Coventry City,England
US Le Pays Du Valois,France
Sampdoria Genua,Italy
Isloch,Belarus
Calcio Padova,Italy
Horsham FC,England
SC Freiburg,Germany
Ternana Calcio,Italy
Celtic Glasgow,Scotland
CD Lugo,Spain
Ste S Educ Phys Hombourg Haut,France
Al-Hilal Saudi FC,Saudi Arabia
RCD Espanyol Barcelona,Spain
AC Reggiana 1919,Italy
Yeovil Town,England
1. FC Heidenheim 1846,Germany
Bassin D'Arcachon,France
FC Kryvbas Kriviy Rih,Ukraine
BK Häcken,Sweden
Luton Town,England
FC CSKA 1948,Bulgaria
FC Cambridge United,England
En Avt de St Renan,France
AG Caennaise,France
Huddersfield Town,England
Colorado Rapids,United States
Real Valladolid,Spain
ES Aubance,France
Bremer SV 1906,Germany
FA Morlaas Est Bearn,France
Curzon Ashton FC,England
SC Farense,Portugal
Saumur Olympique,France
Worthing FC,England
TSV Schott Mainz,Germany
Al-Ahli Saudi FC,Saudi Arabia
FC Differdingen 03,Luxembourg
Türkei,Turkey
Liverpool FC U21,England
Bromley FC,England
US Provin,France
Olympiakos Piräus,Greece
Bröndby IF,Denmark
Larne FC,Northern Ireland
VfL Bochum,Germany
SL Benfica,Portugal
Almere City FC,Netherlands
Bolton Wanderers,England
MFk Ruzomberok,Slovakia
FC Sarreguemines,France
FC Stade Rennes,France
FC Sheriff Tiraspol,Moldova
Levadia Tallinn,Estonia
SS Virtus,San Marino
Spezia Calcio,Italy
AL Fayha FC,Saudi Arabia
Marsaxlokk FC,Malta
Eintracht Frankfurt,Germany
RC Celta de Vigo,Spain
FC Dynamo Kiew,Ukraine
AL Khaleej Saihat FC,Saudi Arabia
Chantilly,France
FK Vojvodina,Serbia
EA Guingamp,France
AS Vitre,France
Sestao River Club,Spain
Stade Briochin,France
LR Vicenza,Italy
Chiclana CF,Spain
Saint Patrick´s Athletic,Ireland
FC Struga Trim Lum,North Macedonia
FK Buducnost,Montenegro
West Ham United,England
Seattle Sounders,United States
Olympique Lyon,France
FC Turin,Italy
Rotherham United,England
FC Salzburg,Austria
Damac Club,Saudi Arabia
Hereford FC,England
Eastleigh FC,England
Polen,Poland
Riga FC,Latvia
Montdidier AC,France
Brighton & Hove Albion,England
CF Lorca Deportiva,Spain
Nottingham Forest,England
Maccabi Haifa FC,Israel
FC Erzgebirge Aue,Germany
AM Du Personnel Muncipal Metz,France
Cp Parla Escuela,Spain
Burgos CF,Spain
Linfield FC,Northern Ireland
Eyüpspor,Turkey
Toulouse Metropole,France
JK Tallinna Kalev,Estonia
FC Andorra,Andorra
Ukraine,Ukraine
Hallescher FC,Germany
Kuopion Palloseura,Finland
FK Transinvest,Lithuania
WSG Tirol,Austria
Union Cosnoise Sportive,France
Chester FC,England
FK Tsc Backa Topola,Serbia
KF Malisheva,Kosovo
US Feurs,France
St. Paimpolais,France
FC Banik Ostrava,Czech Republic
Epinal,France
US Chateaugiron,France
Sivasspor,Turkey
AS Panazol,France
AC Florenz,Italy
Whitby Town,England
UD Barbastro,Spain
FC Luzern,Switzerland
Toulouse FC,France
RB Leipzig,Germany
Al-Orobah,Saudi Arabia
Paris Saint-Germain,France
Unio Esportiva Vic,Spain
SS Juve Stabia,Italy
HB Torshavn,Faroe Islands
AC Sparta Prag,Czech Republic
Union Zona Norte,Spain
Caernarfon Town FC,Wales
FC Sion,Switzerland
Malmö FF,Sweden
US Boulogne,France
Nashville SC,United States
Calcio Foggia,Italy
Grasshopper Club Zürich,Switzerland
US Salernitana,Italy
US Saint Omer,France
FC Roche Saint-Genest,France
SD Tarazona,Spain
Cp Mijas-Las Lagunas,Spain
Sporting Gijon,Spain
FK Austria Wien,Austria
Plymouth Argyle,England
Etoile Maritime FC,France
AS Villers Houlgate,France
VfB Stuttgart II,Germany
FC Venedig,Italy
Racing Santander,Spain
FC Loon-Plage,France
Qarabag FK,Azerbaijan
FC Sunderland,England
Frankreich,France
Astur CF,Spain
FC Zürich,Switzerland
Stade Lavallois MFC,France
Les Herbiers,France
Angouleme Charente FC,France
Austin FC,United States
Tottenham Hotspur,England
FC Equeurdreville Hainneville,France
Utebo FC,Spain
FC Shakhtar Donetsk,Ukraine
ASD Torres Sassari,Italy
RC Deportivo La Coruna,Spain
Alemannia Aachen,Germany
SSV Ulm 1846,Germany
Union Berlin,Germany
Wigan Athletic,England
FC Southampton,England
Brighton and Hove Albion U21,England
Cagliari Calcio,Italy
Vendee Poire-Sur-Vie Football,France
SK Rapid Wien,Austria
Werder Bremen,Germany
HNK Hajduk Split,Croatia
FC Saint-Meziery,France
Gil Vicente FC,Portugal
Squadra Valincu Alta Rocca Rizzanese,France
Los Angeles Galaxy,United States
AEK Athen,Greece
Noisy Le Sec,France
FC Arsenal U21,England
Trelissac FC,France
FC Fleury 91,France
Gateshead FC,England
AC Mailand,Italy
CD Santurtzi Ke,Spain
FK Jungbunzlau,Czech Republic
CD Boiro,Spain
Port Vale FC,England
Legia Warschau,Poland
CD Leganés,Spain
Kayserispor,Turkey
Greifswalder FC,Germany
UD Las Palmas,Spain
AS Pirae,French Polynesia
BB Bodrumspor,Turkey
Morecambe FC,England
SV Sandhausen,Germany
Connah´s Quay Nomads FC,Wales
RC Doullens,France
SC Verl,Germany
Parma Calcio,Italy
AS Cittadella,Italy
Carlisle United,England
Vilnius FK Zalgiris,Lithuania
Troyes AC,France
Petrocub Hincesti,Moldova
US Orleans 45,France
PSV Eindhoven,Netherlands
VfL 1899 Osnabrück,Germany
Yverdon Sport FC,Switzerland
SC Braga,Portugal
AS Monaco,Monaco
Atlético Madrid,Spain
FC Palermo,Italy
SD Compostela,Spain
FK Shkendija,North Macedonia
FC Groningen,Netherlands
Udinese Calcio,Italy
Bristol City,England
Angers SCO,France
WKS Slask Wroclaw,Poland
Clermont Foot,France
Atletico Lugones,Spain
CD Gevora,Spain
Aunis AFC,France
Ascoli Calcio 1898 FC,Italy
US Fougeres,France
CD Sauzal,Spain
Blagnac,France
Getafe CF,Spain
Manchester City FC U21,England
Cannes,France
AJ Auxerre,France
FC Lausanne-Sport,Switzerland
FC Ballkani,Kosovo
SD Ponferradina,Spain
CDA Navalcarnero,Spain
Rumänien,Romania
Aston Villa FC U21,England
FC Basel,Switzerland
Albacete Balompie,Spain
Canet Roussillon FC,France
Chesham United,England
Delfino Pescara 1936,Italy
FC Chambly Oise,France
Crystal Palace,England
Villenave,France
Birmingham City,England
RC Lens,France
FC Saburtalo Tiflis,Georgia
Fotbal Club FCSB,Romania
AS Montlouis Football,France
Chaumont FC,France
Naxara CD,Spain
Woking FC,England
FC Dallas,United States
Dänemark,Denmark
Roannais Foot 42,France
Orlando City SC,United States
FC Noah,Armenia
FC Midtjylland,Denmark
FC Girondins Bordeaux,France
Karlsruher SC,Germany
Sliema Wanderers FC,Malta
Fulham FC U21,England
FC Torpedo 2008 Kutaisi,Georgia
1. FC Kaiserslautern,Germany
Pendikspor,Turkey
CD Azuaga,Spain
Oldham Athletic,England
Montpellier HSC,France
Willem II Tilburg,Netherlands
Atalanta BC,Italy
VfL Wolfsburg,Germany
Atletico Astorga FC,Spain
SP Tre Penne,San Marino
Unionistas de Salamanca CF,Spain
CD Promesas Edf,Spain
Al-Raed Club,Saudi Arabia
Tottenham Hotspur FC U21,England
CF Villanovense,Spain
CA Antoniano,Spain
Saint Aubin Guerande FC,France
AS Rosador,France
US Lecce,Italy
Al-Qadisiyah,Saudi Arabia
CA Pontarlier,France
TUS Koblenz 1911,Germany
FK Rigas Futbola Skola,Latvia
West Bromwich Albion,England
Schottland,Scotland
Vierzon FC,France
Crusaders FC,Northern Ireland
Real Oviedo,Spain
FC St. Mirren,Scotland
Elche CF,Spain
UD Rotlet Molinar,Spain
FC Chauray,France
Kidderminster Harriers FC,England
TSV Hartberg,Austria
Wolfsberger AC,Austria
West Ham United FC U21,England
Rio Ave FC,Portugal
CD Egues,Spain
Swindon Town,England
Offenbacher FC Kickers 1901,Germany
UD Playas de Sotavento,Spain
Al-Ittihad Jeddah,Saudi Arabia
AC Omonia Nicosia,Cyprus
LASK Linz,Austria
CE Andratx,Spain
Pafos FC,Cyprus
SpVgg Unterhaching,Germany
CS Le Moule,Guadeloupe
Louhans Cuiseaux,France
Sheppey United FC,England
Manchester United FC U21,England
Valenciennes FC,France
Atzeneta UE,Spain
FC Metz,France
CD Arenteiro,Spain
FK Mornar Bar,Montenegro
Zira FK,Azerbaijan
Real Betis Balompie,Spain
1. FC Magdeburg,Germany
Borussia Dortmund II,Germany
New York City FC,United States
CD Santa Clara,Portugal
FK Radnicki 1923,Serbia
Portugal,Portugal
Aldershot Town FC,England
F91 Dudelange,Luxembourg
Derry City,Northern Ireland
AL Akhdood,Saudi Arabia
UD Ibiza,Spain
FSV Mainz,Germany
Belgien,Belgium
FK Sarajevo,Bosnia and Herzegovina
Reims Sainte-Anne,France
Carrarese Calcio 1908,Italy
FC Sochaux,France
AS Lavernose Lherm,France
Tschechien,Czech Republic
Al-Fateh SC,Saudi Arabia
FC Dinan Lehon,France
CD Zirauki,Spain
Sheffield Wednesday,England
Rodez Aveyron,France
Chicago Fire,United States
Leicester City,England
Villarreal CF,Spain
Samsunspor,Turkey
FC Winterthur,Switzerland
Pd Santa Eulalia,Spain
FC Vaduz,Liechtenstein
Ontinena CF,Spain
FK Liepaja,Latvia
Borussia Mönchengladbach,Germany
SSV Jahn Regensburg,Germany
Sassuolo Calcio,Italy
Chelsea FC U21,England
Floriana FC,Malta
Dieppe FC,France
Leeds United,England
Stade Plabennecois,France
NK Olimpija Ljubljana,Slovenia
Frosinone Calcio,Italy
Real Jaén CF,Spain
FC Middlesbrough,England
Italien,Italy
Ungarn,Hungary
FC Südtirol,Italy
FK Panevezys,Lithuania
FC Arouca,Portugal
Js Douvres,France
Queens Park Rangers,England
FC Polissya,Ukraine
FK Partizani Tirana,Albania
Gaziantep FK,Turkey
FC Crotone,Italy
US Sarre Union,France
OGC Nizza,France
FC Everton,England
FC Walsall,England
Ipswich Town,England
Coulaines,France
Calcio Catania,Italy
FC Twente Enschede,Netherlands
Forest Green Rovers,England
FC Villefranche Beaujolais,France
Sutton United FC,England
FC Lugano,Switzerland
US Cremonese,Italy
FK Decic Tuzi,Montenegro
FC Bristol Rovers,England
US Avranches,France
Charlton Athletic,England
Georgien,Georgia
SSC Neapel,Italy
RW Essen,Germany
Accrington Stanley,England
FC Chaponnay-Marennes,France
SV Waldhof Mannheim 07,Germany
RC Calais,France
UD Almeria,Spain
CD Cayon,Spain
CD Covadonga,Spain
AFC Fylde,England
Slough Town FC,England
VfB Stuttgart,Germany
Swansea City,Wales
1. FC Nürnberg,Germany
US Avellino,Italy
SK Slavia Prag,Czech Republic
Club Deportivo Eldense,Spain
Levante UD,Spain
Schweiz,Switzerland
FC Spartak Trnava,Slovakia
Hamburger SV,Germany
FC Carl Zeiss Jena,Germany
FC Minnesota United,United States
SC Amiens,France
CD Varea,Spain
Mantova 1911,Italy
FA Siauliai,Lithuania
MKE Ankaragucu,Turkey
Serbien,Serbia
Leyton Orient,England
Juventus Turin,Italy
Grazer AK,Austria
Wolverhampton Wanderers FC U21,England
Eintracht Braunschweig,Germany
FC Limonest Dardilly Saint-Didier,France
Camon,France
Columbus Crew,United States
FC Empoli,Italy
Real Saragossa,Spain
Mansfield Town,England
Saint Louis City SC,United States
SO Cholet,France
FC Viktoria Pilsen,Czech Republic
Choisy-Au-Bac,France
Puskas Akademia FC Felcsut,Hungary
SSC Bari,Italy
US Catanzaro,Italy
UD San Pedro,Spain
Sevilla FC,Spain
Football Bourg-En-Bresse Peronnas 01,France
Croix IC,France
Como 1907,Italy
Servette FC,Switzerland
SK Sturm Graz,Austria
CF Tardienta,Spain
CD Aurrera de Vitoria,Spain
Doncaster Rovers,England
Lyon La Duchère,France
AC Houilles,France
NK Celje,Slovenia
FC Geispolsheim 01,France
KF Drita,Kosovo
Sparta Rotterdam,Netherlands
Bourgoin J,France
FC Flerien,France
FC Blackpool,England
Athletic Bilbao,Spain
UCAM Murcia,Spain
CD Manchego Ciudad Real,Spain
FC Annecy,France
Dijon FCO,France
Apoel Nicosia,Cyprus
CD Hernan Cortes,Spain
Albanien,Albania
FC Milsami,Moldova
Fenerbahce Istanbul,Turkey
CD Castellon,Spain
Kroatien,Croatia
Houston Dynamo,United States
UD Melilla,Spain
Maccabi Tel Aviv FC,Israel
CF Montreal,Canada
CD Linares,Spain
Chambery SF,France
Sporting Lissabon,Portugal
KAA Gent,Belgium
Real Madrid,Spain
Pontivy GSI,France
VfV 06 Hildesheim,Germany
Sporting de Mahon,Spain
FC Brentford,England
FC Torpedo Belaz Zhodino,Belarus
CD Mensajero,Spain
Estrela Amadora,Portugal
VfL Sportfreunde Lotte 1929,Germany
Stevenage FC,England
FC Crewe Alexandra,England
Manchester City,England
Bodö/Glimt,Norway
Neman Grodno,Belarus
GFK Tikvesh 1930,North Macedonia
FC Portsmouth,England
Lazio Rom,Italy
AS Furiani Agliani,France
FC Gillingham,England
CD Baztan,Spain
Granada CF,Spain
Saint Denis US,France
Wisla Krakau,Poland
Ferencvaros Budapest,Hungary
Salford City,England
Al-Riyadh SC,Saudi Arabia
Wolverhampton Wanderers,England
FC Progres Niederkorn,Luxembourg
FC Everton U21,England
SC Austria Lustenau,Austria
Philadelphia Union,United States
Lincoln Red Imps FC,Gibraltar
AZ Alkmaar,Netherlands
AC Monza,Italy
SG Dynamo Dresden,Germany
Stade Poitevin FC,France
Shamrock Rovers,Ireland
1. FC Phönix Lübeck,Germany
CD Villamuriel,Spain
Solihull Moors FC,England
SC Bastia,France
Valencia CF,Spain
Hapoel Beer Sheva FC,Israel
1. FC Köln,Germany
Racing Club De France 92,France
FC CFR 1907 Cluj,Romania
FC Espaly St Marcel,France
Boavista FC,Portugal
PAOK Thessaloniki,Greece
SD Gernika Club,Spain
KI Klaksvik,Faroe Islands
AD Alcorcon,Spain
Cardiff City,Wales
Göztepe SK,Turkey
Al-Hazm,Saudi Arabia
SC Pisa,Italy
TSG Hoffenheim,Germany
FC Famalicao,Portugal
Al-Wehda FC,Saudi Arabia
Cosenza Calcio,Italy
AD Llerenense,Spain
Boreham Wood FC,England
KF Tirana,Albania
FC Utrecht,Netherlands
York City FC,England
Aviron Bayonnais FC,France
Worksop Town,England
Orihuela CF,Spain
Caykur Rizespor,Turkey
Hatayspor,Turkey
Adana Demirspor,Turkey
Holstein Kiel,Germany
Torcy,France
Stockport County FC,England
Red Star FC,France
Ramsgate FC,England
CD Teruel,Spain
Stade Pontivyen,France
Vitoria Guimaraes,Portugal
AS Rom,Italy
Milton Keynes Dons,England
1860 München,Germany
Atletico Sanluqueno CF,Spain
ES Villerupt Thil,France
FC Teutonia Ottensen 1905,Germany
Scarborough Athletic,England
Longueau ESC,France
Grenoble Foot,France
Colmar,France
Neuville Sur Saone,France
Rayo Vallecano,Spain
Energie Cottbus,Germany
Bracknell Town FC,England
Marine FC,England
FC 08 Villingen,Germany
CD Bunol,Spain
Shrewsbury Town,England
Asc Le Geldar,French Guiana
FC Hauts Lyonnais,France
SK Austria Klagenfurt,Austria
Arosa SC,Spain
Grimsby Town,England
Trabzonspor,Turkey
SD Eibar,Spain
Crawley Town,England
IF Elfsborg,Sweden
Los Angeles FC,United States
Sa Le Quesnoy,France
Barrow AFC,England
Bergerac Perigord FC,France
CD Manacor,Spain
Botev Plovdiv,Bulgaria
Fleetwood Town,England
Tranmere Rovers FC,England
Terrassa FC,Spain
Melilla CD,Spain
The New Saints FC,Wales
Charlotte FC,United States
Bayern München,Germany
AS Saint Priest,France
CD Ceuta 6 de Junio,Spain
Sumgayit FK,Azerbaijan
Plougastel FC,France
Cheltenham Town,England
SV Wehen Wiesbaden,Germany
Al-Ittifaq FC,Saudi Arabia
CA Osasuna,Spain
Evian TG FC,France
Auch,France
SC Heerenveen,Netherlands
FC Plessis Robinson,France
Derby County,England
FC St. Gallen,Switzerland
Cesena FC,Italy
AEK Larnaca,Cyprus
Tampereen Ilves,Finland
Newport County AFC,Wales
ASC Biesheim,France
FC Reading,England
Pau FC,France
RC Strasbourg Alsace,France
CD San Roque,Spain
Sabah FC Masazir,Azerbaijan
Paide Linnameeskond,Estonia
Valur Reykjavik,Iceland
FC Ordabasy,Kazakhstan
SV Meppen 1912,Germany
Racing Club de Ferrol,Spain
FC Martigues,France
FC Cartagena,Spain
FC Vizela,Portugal
CD Tudelano,Spain
VfR 1921 Aalen,Germany
SpVgg Greuther Fürth,Germany
US Revel,France
Hamrun Spartans FC,Malta
FC Libourne,France
FC Girona,Spain
Ajax Amsterdam,Netherlands
Notts County,England
FC Augsburg,Germany
NEC Nijmegen,Netherlands
Silkeborg IF,Denmark
FK Partizan,Serbia
Virtus Entella,Italy
